platform,pool_name,pool_address,date,reserve0,reserve1,weth_reserve,swap_count,total_event_count
sushiswap,COMP-WETH,0x31503dcb60119a812fee820bb7042752019f2355,2020-09-09,103781.03514012817,52854.947796058281,52854.947796058281,67,171
sushiswap,COMP-WETH,0x31503dcb60119a812fee820bb7042752019f2355,2020-09-10,90760.932847256743,42241.874905645935,42241.874905645935,312,519
sushiswap,COMP-WETH,0x31503dcb60119a812fee820bb7042752019f2355,2020-09-11,125461.5788215611,58388.342671226848,58388.342671226848,306,529
sushiswap,COMP-WETH,0x31503dcb60119a812fee820bb7042752019f2355,2020-09-12,117935.68376993432,54581.102135493187,54581.102135493187,203,377
sushiswap,COMP-WETH,0x31503dcb60119a812fee820bb7042752019f2355,2020-09-13,109907.49781005208,49497.692579485236,49497.692579485236,250,509
sushiswap,COMP-WETH,0x31503dcb60119a812fee820bb7042752019f2355,2020-09-14,98000.562158485467,43300.848452852559,43300.848452852559,116,265
sushiswap,COMP-WETH,0x31503dcb60119a812fee820bb7042752019f2355,2020-09-15,99543.987628618241,42095.045354245565,42095.045354245565,119,202
sushiswap,COMP-WETH,0x31503dcb60119a812fee820bb7042752019f2355,2020-09-16,95466.793593587849,40127.103949819335,40127.103949819335,81,155
sushiswap,COMP-WETH,0x31503dcb60119a812fee820bb7042752019f2355,2020-09-17,71855.375387082531,29363.685454935785,29363.685454935785,249,331
sushiswap,COMP-WETH,0x31503dcb60119a812fee820bb7042752019f2355,2020-09-18,77604.2224880871,30924.098019559424,30924.098019559424,168,220
sushiswap,COMP-WETH,0x31503dcb60119a812fee820bb7042752019f2355,2020-09-19,84008.2157221095,33117.177262072815,33117.177262072815,105,177
sushiswap,COMP-WETH,0x31503dcb60119a812fee820bb7042752019f2355,2020-09-20,68798.424013584648,26674.949712328325,26674.949712328325,86,115
sushiswap,COMP-WETH,0x31503dcb60119a812fee820bb7042752019f2355,2020-09-21,65675.156907899276,24974.384072877583,24974.384072877583,103,126
sushiswap,COMP-WETH,0x31503dcb60119a812fee820bb7042752019f2355,2020-09-22,67404.938018118133,28207.212260375745,28207.212260375745,122,139
sushiswap,COMP-WETH,0x31503dcb60119a812fee820bb7042752019f2355,2020-09-23,68410.082093052537,27125.593993107985,27125.593993107985,113,132
sushiswap,COMP-WETH,0x31503dcb60119a812fee820bb7042752019f2355,2020-09-24,70734.4157826752,28136.422357497926,28136.422357497926,112,132
sushiswap,COMP-WETH,0x31503dcb60119a812fee820bb7042752019f2355,2020-09-25,70021.948233222167,27762.619324793453,27762.619324793453,81,96
sushiswap,COMP-WETH,0x31503dcb60119a812fee820bb7042752019f2355,2020-09-26,42895.013394461217,17552.292796964841,17552.292796964841,106,128
sushiswap,COMP-WETH,0x31503dcb60119a812fee820bb7042752019f2355,2020-09-27,42010.8452745441,16374.721706181857,16374.721706181857,58,66
sushiswap,COMP-WETH,0x31503dcb60119a812fee820bb7042752019f2355,2020-09-28,43342.344765873051,16010.417322706237,16010.417322706237,212,221
sushiswap,COMP-WETH,0x31503dcb60119a812fee820bb7042752019f2355,2020-09-29,38214.640145546524,14163.695635752338,14163.695635752338,92,115
sushiswap,COMP-WETH,0x31503dcb60119a812fee820bb7042752019f2355,2020-09-30,48004.9469101852,17684.142683450478,17684.142683450478,61,87
sushiswap,COMP-WETH,0x31503dcb60119a812fee820bb7042752019f2355,2020-10-01,62598.839898615464,22774.407832941779,22774.407832941779,72,92
sushiswap,COMP-WETH,0x31503dcb60119a812fee820bb7042752019f2355,2020-10-02,60288.464889828276,20921.454330408356,20921.454330408356,135,151
sushiswap,COMP-WETH,0x31503dcb60119a812fee820bb7042752019f2355,2020-10-03,59434.849029094723,20946.968453610545,20946.968453610545,76,85
sushiswap,COMP-WETH,0x31503dcb60119a812fee820bb7042752019f2355,2020-10-04,55844.3259160947,19077.996347705233,19077.996347705233,80,93
sushiswap,COMP-WETH,0x31503dcb60119a812fee820bb7042752019f2355,2020-10-05,55274.016845705853,19157.275152595688,19157.275152595688,90,100
sushiswap,COMP-WETH,0x31503dcb60119a812fee820bb7042752019f2355,2020-10-06,38820.5558575648,12003.839362249826,12003.839362249826,206,221
sushiswap,COMP-WETH,0x31503dcb60119a812fee820bb7042752019f2355,2020-10-07,39087.5959753709,12691.126846803047,12691.126846803047,295,316
sushiswap,COMP-WETH,0x31503dcb60119a812fee820bb7042752019f2355,2020-10-08,41272.408876771871,12696.191923636334,12696.191923636334,347,358
sushiswap,COMP-WETH,0x31503dcb60119a812fee820bb7042752019f2355,2020-10-09,36327.117228187853,11486.065061354942,11486.065061354942,405,420
sushiswap,COMP-WETH,0x31503dcb60119a812fee820bb7042752019f2355,2020-10-10,40293.327769062664,12394.183555727524,12394.183555727524,158,165
sushiswap,COMP-WETH,0x31503dcb60119a812fee820bb7042752019f2355,2020-10-11,39965.863968923775,12281.386604708156,12281.386604708156,98,103
sushiswap,COMP-WETH,0x31503dcb60119a812fee820bb7042752019f2355,2020-10-12,45117.173255474212,13621.68686040307,13621.68686040307,137,148
sushiswap,COMP-WETH,0x31503dcb60119a812fee820bb7042752019f2355,2020-10-13,44974.720765679653,13385.272401953045,13385.272401953045,67,75
sushiswap,COMP-WETH,0x31503dcb60119a812fee820bb7042752019f2355,2020-10-14,45522.548317538953,12947.119568846781,12947.119568846781,110,115
sushiswap,COMP-WETH,0x31503dcb60119a812fee820bb7042752019f2355,2020-10-15,47786.609977489876,13579.326434715882,13579.326434715882,81,84
sushiswap,COMP-WETH,0x31503dcb60119a812fee820bb7042752019f2355,2020-10-16,51147.371949053428,14383.204649019772,14383.204649019772,107,112
sushiswap,COMP-WETH,0x31503dcb60119a812fee820bb7042752019f2355,2020-10-17,51254.314065909661,14299.461022969255,14299.461022969255,73,80
sushiswap,COMP-WETH,0x31503dcb60119a812fee820bb7042752019f2355,2020-10-18,51839.416861945196,14306.786468996046,14306.786468996046,149,156
sushiswap,COMP-WETH,0x31503dcb60119a812fee820bb7042752019f2355,2020-10-19,52317.40527426613,14167.437632585192,14167.437632585192,128,134
sushiswap,COMP-WETH,0x31503dcb60119a812fee820bb7042752019f2355,2020-10-20,54955.76978378198,14145.859010622646,14145.859010622646,171,185
sushiswap,COMP-WETH,0x31503dcb60119a812fee820bb7042752019f2355,2020-10-21,51303.758053062469,12446.710378260845,12446.710378260845,163,172
sushiswap,COMP-WETH,0x31503dcb60119a812fee820bb7042752019f2355,2020-10-22,49533.583709255225,12156.970912232928,12156.970912232928,280,291
sushiswap,COMP-WETH,0x31503dcb60119a812fee820bb7042752019f2355,2020-10-23,47170.361794724326,11893.428186837713,11893.428186837713,118,121
sushiswap,COMP-WETH,0x31503dcb60119a812fee820bb7042752019f2355,2020-10-24,47112.686763743593,12008.996109944606,12008.996109944606,147,152
sushiswap,COMP-WETH,0x31503dcb60119a812fee820bb7042752019f2355,2020-10-25,48332.862002958558,12107.451857003387,12107.451857003387,146,151
sushiswap,COMP-WETH,0x31503dcb60119a812fee820bb7042752019f2355,2020-10-26,47793.414499146937,12240.554312235194,12240.554312235194,110,119
sushiswap,COMP-WETH,0x31503dcb60119a812fee820bb7042752019f2355,2020-10-27,52958.283506837,14308.472326998979,14308.472326998979,331,338
sushiswap,COMP-WETH,0x31503dcb60119a812fee820bb7042752019f2355,2020-10-28,51664.3828741824,14429.863224448443,14429.863224448443,423,427
sushiswap,COMP-WETH,0x31503dcb60119a812fee820bb7042752019f2355,2020-10-29,54808.014321242546,13672.121657106691,13672.121657106691,357,363
sushiswap,COMP-WETH,0x31503dcb60119a812fee820bb7042752019f2355,2020-10-30,55727.711641130307,13461.326476582351,13461.326476582351,241,244
sushiswap,COMP-WETH,0x31503dcb60119a812fee820bb7042752019f2355,2020-10-31,56665.643342783675,13323.182654053669,13323.182654053669,169,180
sushiswap,COMP-WETH,0x31503dcb60119a812fee820bb7042752019f2355,2020-11-01,56200.074017335748,13410.278861444922,13410.278861444922,119,122
sushiswap,COMP-WETH,0x31503dcb60119a812fee820bb7042752019f2355,2020-11-02,46605.546462040009,11102.774661220506,11102.774661220506,107,117
sushiswap,COMP-WETH,0x31503dcb60119a812fee820bb7042752019f2355,2020-11-03,48001.078246808167,10785.876409912114,10785.876409912114,284,288
sushiswap,COMP-WETH,0x31503dcb60119a812fee820bb7042752019f2355,2020-11-04,46943.822116832496,10339.174428088943,10339.174428088943,144,149
sushiswap,COMP-WETH,0x31503dcb60119a812fee820bb7042752019f2355,2020-11-05,48270.360070077957,10574.700060286457,10574.700060286457,212,221
sushiswap,COMP-WETH,0x31503dcb60119a812fee820bb7042752019f2355,2020-11-06,51932.780157741268,10933.216243721285,10933.216243721285,280,288
sushiswap,COMP-WETH,0x31503dcb60119a812fee820bb7042752019f2355,2020-11-07,48303.540256951448,10328.480274164414,10328.480274164414,457,472
sushiswap,COMP-WETH,0x31503dcb60119a812fee820bb7042752019f2355,2020-11-08,52983.069731182448,11321.033716692566,11321.033716692566,241,248
sushiswap,COMP-WETH,0x31503dcb60119a812fee820bb7042752019f2355,2020-11-09,53213.265056585529,11321.229872753513,11321.229872753513,179,184
sushiswap,COMP-WETH,0x31503dcb60119a812fee820bb7042752019f2355,2020-11-10,51679.268455176374,11773.2021234626,11773.2021234626,237,248
sushiswap,COMP-WETH,0x31503dcb60119a812fee820bb7042752019f2355,2020-11-11,52679.451226714911,11709.432895873839,11709.432895873839,369,375
sushiswap,COMP-WETH,0x31503dcb60119a812fee820bb7042752019f2355,2020-11-12,52361.470453600647,11828.852510556349,11828.852510556349,138,147
sushiswap,COMP-WETH,0x31503dcb60119a812fee820bb7042752019f2355,2020-11-13,46304.393441160973,11471.838188707603,11471.838188707603,272,279
sushiswap,COMP-WETH,0x31503dcb60119a812fee820bb7042752019f2355,2020-11-14,44854.32213836084,11861.885805441205,11861.885805441205,536,543
sushiswap,COMP-WETH,0x31503dcb60119a812fee820bb7042752019f2355,2020-11-15,46589.767050961724,12470.997822713296,12470.997822713296,444,450
sushiswap,COMP-WETH,0x31503dcb60119a812fee820bb7042752019f2355,2020-11-16,57598.50410790585,15018.874443794573,15018.874443794573,280,287
sushiswap,COMP-WETH,0x31503dcb60119a812fee820bb7042752019f2355,2020-11-17,56697.895536344578,14306.200710487636,14306.200710487636,191,202
sushiswap,COMP-WETH,0x31503dcb60119a812fee820bb7042752019f2355,2020-11-18,50958.151676883819,12157.552025894605,12157.552025894605,178,199
sushiswap,COMP-WETH,0x31503dcb60119a812fee820bb7042752019f2355,2020-11-19,50838.332385106944,12220.637757925868,12220.637757925868,252,264
sushiswap,COMP-WETH,0x31503dcb60119a812fee820bb7042752019f2355,2020-11-20,52298.687995433174,11945.141141633092,11945.141141633092,210,216
sushiswap,COMP-WETH,0x31503dcb60119a812fee820bb7042752019f2355,2020-11-21,53253.140139062969,12387.872812592075,12387.872812592075,192,202
sushiswap,COMP-WETH,0x31503dcb60119a812fee820bb7042752019f2355,2020-11-22,56006.083796288476,11675.364722731973,11675.364722731973,217,225
sushiswap,COMP-WETH,0x31503dcb60119a812fee820bb7042752019f2355,2020-11-23,44227.312054090457,9112.57975332497,9112.57975332497,150,160
sushiswap,COMP-WETH,0x31503dcb60119a812fee820bb7042752019f2355,2020-11-24,43279.967120738045,9082.24402731047,9082.24402731047,156,171
sushiswap,COMP-WETH,0x31503dcb60119a812fee820bb7042752019f2355,2020-11-25,42982.591332144737,9312.6141896741,9312.6141896741,247,251
sushiswap,COMP-WETH,0x31503dcb60119a812fee820bb7042752019f2355,2020-11-26,44243.617254468838,9083.8483971040423,9083.8483971040423,199,203
sushiswap,COMP-WETH,0x31503dcb60119a812fee820bb7042752019f2355,2020-11-27,45133.161913652148,9101.9065888811365,9101.9065888811365,118,127
sushiswap,COMP-WETH,0x31503dcb60119a812fee820bb7042752019f2355,2020-11-28,45410.23032817497,9111.10903593948,9111.10903593948,143,153
sushiswap,COMP-WETH,0x31503dcb60119a812fee820bb7042752019f2355,2020-11-29,46548.485774540335,8939.0414489789837,8939.0414489789837,102,111
sushiswap,COMP-WETH,0x31503dcb60119a812fee820bb7042752019f2355,2020-11-30,47964.798262467557,8746.6247218040517,8746.6247218040517,107,113
