date,uniswap_v2_tvl_usd,sushiswap_tvl_usd
2020-09-01,1372059940,
2020-09-02,1954638655,
2020-09-03,1917530337,
2020-09-04,1766097287,0.0
2020-09-05,1962306572,0.0
2020-09-06,1243545540,0.0
2020-09-07,1622683449,0.0
2020-09-08,1721970736,0.0
2020-09-09,1573618692,1082367977.0
2020-09-10,520036943,1057566287.0
2020-09-11,1072688399,1456479137.0
2020-09-12,756613362,1507280673.0
2020-09-13,704501940,908254884.0
2020-09-14,1057746833,837959891.0
2020-09-15,1122556989,786425770.0
2020-09-16,954504517,753239072.0
2020-09-17,919502032,623500397.0
2020-09-18,1394851833,538311360.0
2020-09-19,1914216493,534047767.0
2020-09-20,2140353919,515748067.0
2020-09-21,2166732292,449397157.0
2020-09-22,1976516870,465493137.0
2020-09-23,1997687682,450231054.0
2020-09-24,1909020799,470822736.0
2020-09-25,2093257831,461265453.0
2020-09-26,2135145313,444016873.0
2020-09-27,2192662404,393380363.0
2020-09-28,2233069778,415115618.0
2020-09-29,2279342267,417320451.0
2020-09-30,2327439279,381750840.0
2020-10-01,2411334143,354599936.0
2020-10-02,2424068639,362910832.0
2020-10-03,2403472080,350543322.0
2020-10-04,2446153305,332553044.0
2020-10-05,2478034922,311147003.0
2020-10-06,2502809784,287994629.0
2020-10-07,2417830161,271992792.0
2020-10-08,2438502147,283927079.0
2020-10-09,2574173603,300963993.0
2020-10-10,2686991225,306687772.0
2020-10-11,2798293126,309976770.0
2020-10-12,2890374996,318140480.0
2020-10-13,2919094418,302531787.0
2020-10-14,2876632573,299837269.0
2020-10-15,2995137850,290711524.0
2020-10-16,3031565051,288069116.0
2020-10-17,2932054968,292116604.0
2020-10-18,2930877826,303447186.0
2020-10-19,2989054145,304323053.0
2020-10-20,3006655454,288484875.0
2020-10-21,2924371367,301729418.0
2020-10-22,2969929631,297921935.0
2020-10-23,2957121182,269424892.0
2020-10-24,2848753230,275532845.0
2020-10-25,2936715827,270976867.0
2020-10-26,2978346829,267664553.0
2020-10-27,2997717233,273885076.0
2020-10-28,3052912062,268869024.0
2020-10-29,2970546346,263298423.0
2020-10-30,2937557643,260551134.0
2020-10-31,2920261268,261389377.0
2020-11-01,2989470760,266006941.0
2020-11-02,3014828899,264192131.0
2020-11-03,2892934513,259654269.0
2020-11-04,2868450385,256640322.0
2020-11-05,2945660184,261742010.0
2020-11-06,2977353775,280484506.0
2020-11-07,3099925914,250462786.0
2020-11-08,3018953529,262586247.0
2020-11-09,3110975512,265911804.0
2020-11-10,3215895567,269068254.0
2020-11-11,3246917436,270976714.0
2020-11-12,3324724810,270863476.0
2020-11-13,3290551644,294930649.0
2020-11-14,3372971110,310180050.0
2020-11-15,3319693279,345463673.0
2020-11-16,3212263201,418779493.0
2020-11-17,3050067449,982499785.0
2020-11-18,1774001233,1061652878.0
2020-11-19,1647225739,1047292811.0
2020-11-20,1615465896,1096715997.0
2020-11-21,1685467883,1105842594.0
2020-11-22,1701283731,1118689354.0
2020-11-23,1732018637,685929958.0
2020-11-24,1799550386,650128668.0
2020-11-25,1713990252,612730613.0
2020-11-26,1633387093,561502352.0
2020-11-27,1533331004,586165322.0
2020-11-28,1592288484,643947313.0
2020-11-29,1628754303,678889926.0
2020-11-30,1691469926,739298328.0
2020-12-01,1725912745,743283204.0
2020-12-02,1650635772,857393981.0
2020-12-03,1682816871,919780846.0
2020-12-04,1740993807,879184250.0
2020-12-05,1606524518,966821898.0
2020-12-06,1717451209,987093330.0
2020-12-07,1721389976,980978231.0
2020-12-08,1713075654,961447235.0
2020-12-09,1618281164,988984479.0
2020-12-10,1682032317,1002020977.0
2020-12-11,1614856392,979842226.0
2020-12-12,1598702030,1005015004.0
2020-12-13,1660357492,1039443016.0
2020-12-14,1709216898,1064475456.0
2020-12-15,1713380618,1090859742.0
2020-12-16,1732591504,1156461188.0
2020-12-17,1797402297,1163032448.0
2020-12-18,1800540989,1120280464.0
2020-12-19,1830718351,1174858356.0
2020-12-20,1838821738,1162713298.0
2020-12-21,1813078960,1129313591.0
2020-12-22,1837395782,1133955434.0
2020-12-23,1911929191,1045175401.0
2020-12-24,1869002072,1113363353.0
2020-12-25,1988094088,1182532718.0
2020-12-26,2009089443,1229651818.0
2020-12-27,1998899419,1235164980.0
2020-12-28,2035643875,1281434077.0
2020-12-29,2094546067,1327977815.0
2020-12-30,2148304581,1112999558.0
2020-12-31,2160646277,1156882080.0
2021-01-01,2240430335,1189527729.0
2021-01-02,2235419804,1252390167.0
2021-01-03,2315937362,1416472072.0
2021-01-04,2639259441,1545725611.0
2021-01-05,2768195849,1708104494.0
2021-01-06,3013985856,1815424846.0
2021-01-07,3228461162,1857864895.0
2021-01-08,3315297369,1875590615.0
2021-01-09,3330850150,1854328449.0
2021-01-10,3431090701,1837111611.0
2021-01-11,3317203647,1535003445.0
2021-01-12,2985212035,1567513386.0
2021-01-13,2962741414,1772492271.0
2021-01-14,3166331207,1706725383.0
2021-01-15,3326818582,1798183781.0
2021-01-16,3279861938,1976038790.0
2021-01-17,3346008341,2007300706.0
2021-01-18,3361620529,2038602703.0
2021-01-19,3437649829,2090793763.0
2021-01-20,3550493135,2004942449.0
2021-01-21,3587212950,1698121214.0
2021-01-22,3035230049,1891817800.0
2021-01-23,3346858601,1950964053.0
